file | kind | name | qualified_name | start_line | end_line | parent | data_type | data_shape | signature
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | function | ng_ipaddr_init | ng_ipaddr_init | 23 | 77 |  |  |  | GLOBAL bool ng_ipaddr_init(ng_ipaddr_t *addr, const char *ip_str, UINT16 port)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | struct | addrinfo | addrinfo | 29 | 29 |  |  |  | struct addrinfo
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | struct | addrinfo | addrinfo | 30 | 30 |  |  |  | struct addrinfo
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | function | ng_ipaddr_setport | ng_ipaddr_setport | 80 | 105 |  |  |  | GLOBAL void ng_ipaddr_setport(ng_ipaddr_t *a, UINT16 port)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | function | ng_ipaddr_ipequal | ng_ipaddr_ipequal | 109 | 130 |  |  |  | GLOBAL bool ng_ipaddr_ipequal(const ng_ipaddr_t *a, const ng_ipaddr_t *b)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | function | ng_ipaddr_tostr | ng_ipaddr_tostr | 134 | 143 |  |  |  | GLOBAL const char * ng_ipaddr_tostr(const ng_ipaddr_t *addr)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | function | ng_ipaddr_tostr_r | ng_ipaddr_tostr_r | 147 | 175 |  |  |  | GLOBAL bool ng_ipaddr_tostr_r(const ng_ipaddr_t *addr, char *str)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | struct | sockaddr | sockaddr | 151 | 151 |  |  |  | struct sockaddr
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.c | struct | sockaddr | sockaddr | 151 | 151 |  |  |  | struct sockaddr
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | typedef | ng_ipaddr_t | ng_ipaddr_t | 35 | 39 |  |  |  | typedef union { struct sockaddr sa; struct sockaddr_in sin4; struct sockaddr_in6 sin6; } ng_ipaddr_t;
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | union | <anonymous> | <anonymous> | 35 | 39 |  |  |  | union { struct sockaddr sa; struct sockaddr_in sin4; struct sockaddr_in6 sin6; }
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | field | sa | sa | 36 | 36 |  | struct sockaddr | structured_object | struct sockaddr sa;
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | struct | sockaddr | sockaddr | 36 | 36 |  |  |  | struct sockaddr
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | field | sin4 | sin4 | 37 | 37 |  | struct sockaddr_in | structured_object | struct sockaddr_in sin4;
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | struct | sockaddr_in | sockaddr_in | 37 | 37 |  |  |  | struct sockaddr_in
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | field | sin6 | sin6 | 38 | 38 |  | struct sockaddr_in6 | structured_object | struct sockaddr_in6 sin6;
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | struct | sockaddr_in6 | sockaddr_in6 | 38 | 38 |  |  |  | struct sockaddr_in6
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | struct | NG_IP_ADDR_DONTUSE | NG_IP_ADDR_DONTUSE | 42 | 44 |  |  |  | struct NG_IP_ADDR_DONTUSE { struct sockaddr_in sin4; }
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | field | sin4 | NG_IP_ADDR_DONTUSE::sin4 | 43 | 43 | NG_IP_ADDR_DONTUSE | struct sockaddr_in | structured_object | struct sockaddr_in sin4;
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | struct | sockaddr_in | NG_IP_ADDR_DONTUSE::sockaddr_in | 43 | 43 | NG_IP_ADDR_DONTUSE |  |  | struct sockaddr_in
